0,1,2,3,4,5,6,7
ae,1S,=,=,14,=,=,=
431,16,_,—,18,-,-,-
2.08,"14""°",28,30,35,-,-,-
331,"12""",30,35,40,-,-,-
5.26,"10""",40,50,55,-,-,-
837,8,60,70,80,=,=,=
212,4,105,125,140,80,100,115
26.7,3,120,145,165,95,15,130
33.6,2,140,170,190,110,135,150
424,1,165,195,220,130,185,175
335,10,135,30,250,750,780,25
674,210,225,265,300,175,210,235
85.0,a0,260,310,350,200,240,270
107,40,300,360,405,235,220,315
TT,20,cc),405,aS,265,aS,SS
152,300,375,445,500,290,350,395
177,350,420,505,870,330,395,445
203,400,455,545,615,355,425,480
253,500,515,620,700,405,485,$45
308,600,S75,690,780,455,Ss,615
355,700,630,758,850,500,595,670
380,750,655,785,885,515,€20,700
405,800,680,815,920,535,645,725
456,900,730,870,980,580,700,790
SOT,7000,780,935,1055,625,750,5
633,1250,890,1065,1200,710,855,965
760,1500,980,1975,1325,795,$50,1070
887,1750,1070,1280,1445,875,1050,1185
1013,2000,1155,1385,1560,960,1150,1295
