awg,mm,cobre_60c,cobre_75c,cobre_90c,aluminio_60c,aluminio_75c,aluminio_90c,tabla_nom
18,0.82,0,0,14,0,0,0,310-15(b)(16)
16,1.31,0,0,18,0,0,0,310-15(b)(16)
14,2.08,15,20,25,0,0,0,310-15(b)(16)
12,3.31,20,25,30,0,0,0,310-15(b)(16)
10,5.26,30,35,40,0,0,0,310-15(b)(16)
8,8.37,40,50,55,0,0,0,310-15(b)(16)
6,13.3,55,65,75,40,50,55,310-15(b)(16)
4,21.2,70,85,95,55,65,75,310-15(b)(16)
3,26.7,85,100,115,65,75,85,310-15(b)(16)
2,33.6,95,115,130,75,90,100,310-15(b)(16)
1,42.4,110,130,145,85,100,115,310-15(b)(16)
1/0,53.49,125,150,170,100,120,135,310-15(b)(16)
2/0,67.43,145,175,195,115,135,150,310-15(b)(16)
3/0,85.01,165,200,225,130,155,175,310-15(b)(16)
4/0,107.2,195,230,260,150,180,205,310-15(b)(16)
250,127,215,255,290,170,205,230,310-15(b)(16)
300,152,240,285,320,195,230,260,310-15(b)(16)
350,177,260,310,350,210,250,280,310-15(b)(16)
400,203,280,335,380,225,270,305,310-15(b)(16)
500,253,320,380,430,260,310,350,310-15(b)(16)
600,304,350,420,475,285,340,385,310-15(b)(16)
700,355,385,460,520,315,375,425,310-15(b)(16)
750,380,400,475,535,320,385,435,310-15(b)(16)
800,405,410,490,555,330,395,445,310-15(b)(16)
900,456,435,520,585,355,425,480,310-15(b)(16)
1000,507,455,545,615,375,445,500,310-15(b)(16)
1250,633,495,590,665,405,485,545,310-15(b)(16)
1500,760,525,625,705,435,520,585,310-15(b)(16)
1750,887,545,650,735,455,545,615,310-15(b)(16)
2000,1013,555,665,750,470,560,630,310-15(b)(16)
18,0.824,0,0,14,0,0,0,310-15(b)(17)
16,1.31,0,0,18,0,0,0,310-15(b)(17)
14,2.08,25,30,35,0,0,0,310-15(b)(17)
12,3.31,30,35,40,0,0,0,310-15(b)(17)
10,5.26,40,50,55,0,0,0,310-15(b)(17)
8,8.37,60,70,80,0,0,0,310-15(b)(17)
6,13.3,80,95,105,60,75,85,310-15(b)(17)
4,21.2,105,125,140,80,100,115,310-15(b)(17)
3,26.7,120,145,165,95,115,130,310-15(b)(17)
2,33.6,140,170,190,110,135,150,310-15(b)(17)
1,42.4,165,195,220,130,155,175,310-15(b)(17)
1/0,53.5,195,230,260,150,180,205,310-15(b)(17)
2/0,67.4,225,265,300,175,210,235,310-15(b)(17)
3/0,85,260,310,350,200,240,270,310-15(b)(17)
4/0,107,300,360,405,235,280,315,310-15(b)(17)
250,127,340,405,455,265,315,355,310-15(b)(17)
300,152,375,445,500,290,350,395,310-15(b)(17)
350,177,420,505,570,330,395,445,310-15(b)(17)
400,203,455,545,615,355,425,480,310-15(b)(17)
500,253,515,620,700,405,485,545,310-15(b)(17)
600,304,575,690,780,455,545,615,310-15(b)(17)
700,355,630,755,850,500,595,670,310-15(b)(17)
750,380,655,785,885,515,620,700,310-15(b)(17)
800,405,680,815,920,535,645,725,310-15(b)(17)
900,456,730,870,980,580,700,790,310-15(b)(17)
1000,507,780,935,1055,625,750,845,310-15(b)(17)
1250,633,890,1065,1200,710,855,965,310-15(b)(17)
1500,760,980,1175,1325,795,950,1070,310-15(b)(17)
1750,887,1070,1280,1445,875,1050,1185,310-15(b)(17)
2000,1013,1155,1385,1560,960,1150,1295,310-15(b)(17)
8,8.37,0,57,66,0,0,0,310-15(b)(20)
6,13.3,0,76,89,0,59,69,310-15(b)(20)
4,21.2,0,101,117,0,78,91,310-15(b)(20)
3,26.7,0,118,138,0,92,107,310-15(b)(20)
2,33.6,0,135,158,0,106,123,310-15(b)(20)
1,42.4,0,158,185,0,123,144,310-15(b)(20)
1/0,53.5,0,183,214,0,143,167,310-15(b)(20)
2/0,67.4,0,212,247,0,165,193,310-15(b)(20)
3/0,85,0,245,287,0,192,224,310-15(b)(20)
4/0,107,0,287,335,0,224,262,310-15(b)(20)
250,127,0,320,374,0,251,292,310-15(b)(20)
300,152,0,359,419,0,282,328,310-15(b)(20)
350,177,0,397,464,0,312,364,310-15(b)(20)
400,203,0,430,503,0,339,395,310-15(b)(20)
500,253,0,496,580,0,392,458,310-15(b)(20)
600,304,0,553,647,0,440,514,310-15(b)(20)
700,355,0,610,714,0,488,570,310-15(b)(20)
750,380,0,638,747,0,512,598,310-15(b)(20)
800,405,0,660,773,0,532,622,310-15(b)(20)
900,456,0,704,826,0,572,669,310-15(b)(20)
1000,507,0,748,879,0,612,716,310-15(b)(20)
